"","start","end","length_time","correlation","rsquared","p_value","Sing_level"
"47002300","2009-07-01","2012-08-01","20","0.2542","0.0646","0.279533"," "
"47002300","2012-10-01","2016-10-01","25","0.5955","0.3546","0.001687","**"
"","","","","","","",""
"18040900","1990-09-01","1993-09-01","19","0.6083","0.37","0.005721","**"
"18040900","1994-05-01","1997-09-01","23","-0.1156","0.0134","0.599317"," "
"18040900","1998-05-01","2001-09-01","23","0.5043","0.2543","0.014143","*"
"","","","","","","",""
"18025600","1990-05-01","1995-08-01","34","0.3832","0.1469","0.025269","*"
"18025600","1996-05-01","2001-09-01","35","0.2351","0.0553","0.174043"," "
"18025600","2002-05-01","2009-09-01","47","0.1518","0.023","0.308555"," "
"18025600","2011-05-01","2017-10-01","42","0.0962","0.0093","0.544564"," "
"","","","","","","",""
"86014600","2004-05-01","2009-10-01","36","0.0325","0.0011","0.850643"," "
"","","","","","","",""
"18018400","1998-05-01","2006-10-01","54","0.3292","0.1084","0.01508","*"
"18018400","2007-06-01","2017-08-01","63","0.4376","0.1915","0.000336","***"
"","","","","","","",""
"10004100","2001-05-01","2004-10-01","24","0.1491","0.0222","0.48671"," "
"","","","","","","",""
"40003300","1994-05-01","2004-08-01","64","0.6468","0.4184","0","***"
"40003300","2005-05-01","2011-09-01","41","0.2722","0.0741","0.085122","."
"","","","","","","",""
"27011700","1990-05-01","2017-10-01","168","0.3373","0.1138","8e-06","***"
"","","","","","","",""
"31039900","2002-05-01","2008-07-01","39","0.0871","0.0076","0.5981"," "
"31039900","2008-10-01","2012-08-01","23","0.2378","0.0565","0.274599"," "
"31039900","2014-05-01","2017-05-01","19","0.1933","0.0374","0.427932"," "
"","","","","","","",""
"1005700","2004-10-01","2017-08-01","77","0.3634","0.1321","0.001159","**"
"","","","","","","",""
"1004500","1993-05-01","2005-09-01","77","0.2037","0.0415","0.075602","."
"","","","","","","",""
"2007200","1992-06-01","1996-08-01","27","0.4626","0.214","0.015116","*"
"2007200","1997-05-01","2000-05-01","19","0.3993","0.1594","0.090351","."
"2007200","2007-08-01","2014-09-01","44","0.0444","0.002","0.774934"," "
"","","","","","","",""
"1003400","1993-05-01","1997-05-01","25","0.2622","0.0687","0.205472"," "
"1003400","1999-07-01","2003-05-01","23","0.3036","0.0922","0.159008"," "
"1003400","2008-07-01","2011-10-01","22","0.264","0.0697","0.235226"," "
"","","","","","","",""
"2005200","1990-05-01","2017-10-01","168","0.1139","0.013","0.141584"," "
"","","","","","","",""
"82016600","2002-05-01","2012-09-01","65","0.5819","0.3386","0","***"
"","","","","","","",""
"82014000","2006-05-01","2010-09-01","29","-0.2291","0.0525","0.231965"," "
"","","","","","","",""
"82013800","1998-05-01","2001-08-01","22","0.437","0.191","0.041971","*"
"82013800","2005-05-01","2009-08-01","28","0.0425","0.0018","0.830006"," "
"","","","","","","",""
"82015500","1998-05-01","2003-09-01","35","0.523","0.2735","0.001268","**"
"82015500","2005-05-01","2015-07-01","63","0.0118","1e-04","0.927048"," "
"","","","","","","",""
"82015100","1996-05-01","2001-05-01","31","0.0981","0.0096","0.599565"," "
"","","","","","","",""
"82002300","1996-05-01","2013-10-01","108","0.4035","0.1628","1.5e-05","***"
"","","","","","","",""
"82006800","1998-05-01","2001-06-01","20","0.3809","0.1451","0.097514","."
"82006800","2001-08-01","2012-08-01","67","0.0433","0.0019","0.728002"," "
"","","","","","","",""
"82004800","1997-05-01","2004-09-01","47","0.4284","0.1835","0.002662","**"
"","","","","","","",""
"69065100","1991-05-01","1996-09-01","35","0.069","0.0048","0.693503"," "
"69065100","2003-08-01","2008-05-01","28","0.069","0.0048","0.727279"," "
"","","","","","","",""
"26000200","2007-05-01","2010-09-01","23","-0.23","0.0529","0.291132"," "
"","","","","","","",""
"3023400","2006-05-01","2009-09-01","23","0.2052","0.0421","0.34768"," "
"3023400","2011-06-01","2015-05-01","24","0.4234","0.1793","0.039236","*"
"","","","","","","",""
"21014500","1997-05-01","2000-09-01","23","0.1683","0.0283","0.442783"," "
"21014500","2001-05-01","2009-10-01","54","0.0104","1e-04","0.940554"," "
"","","","","","","",""
"56014100","1990-05-01","2005-08-01","94","0.2928","0.0857","0.004183","**"
"56014100","2006-05-01","2017-10-01","72","0.3655","0.1336","0.001596","**"
"","","","","","","",""
"21010300","2011-05-01","2017-09-01","41","0.511","0.2611","0.00064","***"
"","","","","","","",""
"34015400","2001-09-01","2004-09-01","19","0.5785","0.3346","0.009469","**"
"","","","","","","",""
"34015800","1990-05-01","2006-05-01","97","0.2711","0.0735","0.007243","**"
"34015800","2007-05-01","2010-10-01","24","0.1868","0.0349","0.382136"," "
"","","","","","","",""
"47017700","2003-06-01","2008-10-01","35","0.0892","0.008","0.610374"," "
"47017700","2010-05-01","2013-09-01","23","0.3949","0.156","0.062173","."
"","","","","","","",""
"10010800","2002-05-01","2013-09-01","71","0.4513","0.2037","7.8e-05","***"
"","","","","","","",""
"29007700","2001-05-01","2006-09-01","35","0.1675","0.0281","0.336028"," "
"","","","","","","",""
"77006300","1993-05-01","2002-10-01","60","0.3401","0.1157","0.007839","**"
"77006300","2004-05-01","2014-09-01","65","0.344","0.1183","0.005019","**"
"","","","","","","",""
"49007900","2010-10-01","2016-06-01","33","0.3389","0.1149","0.05368","."
"","","","","","","",""
"11037100","2006-05-01","2016-10-01","66","-0.0373","0.0014","0.766349"," "
"","","","","","","",""
"10000900","1998-06-01","2004-10-01","41","0.632","0.3994","9e-06","***"
"","","","","","","",""
"70005400","1999-05-01","2003-09-01","29","0.6778","0.4593","5.4e-05","***"
"70005400","2004-05-01","2007-06-01","20","0.1381","0.0191","0.561616"," "
"70005400","2008-05-01","2014-08-01","40","0.6404","0.4101","9e-06","***"
"","","","","","","",""
"30002200","1990-05-01","1998-05-01"," 49","0.1671","0.0279","0.25105"," "
"30002200","1999-05-01","2017-10-01","114","0.398","0.1584","1.2e-05","***"
"","","","","","","",""
"82015900","1995-05-01","1998-09-01","23","0.4151","0.1723","0.048895","*"
"","","","","","","",""
"1012500","1993-05-01","1997-09-01","29","-0.1609","0.0259","0.404369"," "
"1012500","2005-05-01","2009-09-01","29","-0.0846","0.0072","0.662755"," "
"","","","","","","",""
"31071900","1994-08-01","1998-09-01","26","0.1117","0.0125","0.586999"," "
"31071900","1999-05-01","2004-09-01","35","0.5991","0.359","0.000143","***"
"","","","","","","",""
"31057600","1991-10-01","1995-09-01","24","0.2222","0.0494","0.296672"," "
"31057600","2001-05-01","2007-05-01","37","0.2489","0.0619","0.137421"," "
"","","","","","","",""
"60000600","2007-07-01","2010-08-01","20","-0.0862","0.0074","0.717992"," "
"","","","","","","",""
"47013400","1993-05-01","2000-09-01","47","0.452","0.2043","0.001424","**"
"47013400","2006-05-01","2008-10-01","18","-0.1493","0.0223","0.554253"," "
"","","","","","","",""
"73007200","2002-05-01","2006-09-01","29","0.6387","0.408","0.000192","***"
"","","","","","","",""
"11019900","1994-05-01","2000-08-01","40","0.1045","0.0109","0.520909"," "
"11019900","2001-10-01","2013-07-01","70","0.1375","0.0189","0.25637"," "
"","","","","","","",""
"86023400","1999-05-01","2007-09-01","53","0.3131","0.0981","0.022426","*"
"","","","","","","",""
"10010300","1993-06-01","2003-07-01","62","0.3072","0.0944","0.015137","*"
"10010300","2004-05-01","2014-06-01","62","0.5528","0.3056","3e-06","***"
"","","","","","","",""
"27014400","1998-06-01","2004-10-01","41","0.4521","0.2044","0.003001","**"
"","","","","","","",""
"10000200","1992-05-01","2003-09-01","71","0.5873","0.3449","0","***"
"10000200","2005-05-01","2009-08-01","28","-0.0395","0.0016","0.841701"," "
"10000200","2011-05-01","2013-10-01","18","0.7044","0.4961","0.001101","**"
"","","","","","","",""
"1009300","1999-06-01","2005-08-01","39","0.2243","0.0503","0.169802"," "
"","","","","","","",""
"70006900","2004-09-01","2009-09-01","31","0.1277","0.0163","0.493688"," "
"","","","","","","",""
"27003100","1990-05-01","1997-10-01","48","0.4743","0.2249","0.000661","***"
"27003100","1999-05-01","2005-10-01","42","0.4826","0.2329","0.001208","**"
"27003100","2010-10-01","2017-10-01","43","0.3117","0.0971","0.041905","*"
"","","","","","","",""
"82012300","1997-05-01","2000-09-01","23","0.1493","0.0223","0.496552"," "
"82012300","2001-05-01","2005-08-01","28","0.1279","0.0164","0.516499"," "
"","","","","","","",""
"13003500","2000-10-01","2005-08-01","29","0.4516","0.2039","0.013935","*"
"","","","","","","",""
"82001500","1996-05-01","2009-06-01","80","0.1788","0.032","0.112625"," "
"","","","","","","",""
"51004600","1997-05-01","2001-07-01","27","0.2233","0.0499","0.262788"," "
"51004600","2008-07-01","2011-06-01","18","0.5746","0.3302","0.012619","*"
"","","","","","","",""
"56065800","1990-05-01","1992-09-01","17","0.4867","0.2369","0.047544","*"
"56065800","1997-07-01","2001-09-01","27","0.4877","0.2379","0.009863","**"
"56065800","2002-05-01","2005-08-01","22","0.432","0.1866","0.044661","*"
"","","","","","","",""
"56019100","1995-10-01","2004-05-01","50","0.3397","0.1154","0.015787","*"
"","","","","","","",""
"21010600","2000-05-01","2003-09-01","23","0.3859","0.1489","0.068949","."
"21010600","2004-05-01","2010-09-01","41","0.2565","0.0658","0.105544"," "
"","","","","","","",""
"83004000","1990-05-01","1995-09-01","35","0.2325","0.0541","0.178846"," "
"83004000","2009-05-01","2012-09-01","23","0.4931","0.2431","0.016811","*"
"83004000","2014-05-01","2017-10-01","24","0.5706","0.3255","0.003598","**"
"","","","","","","",""
"83004300","2006-09-01","2012-10-01","38","0.4288","0.1838","0.007234","**"
"","","","","","","",""
"34008600","2001-05-01","2004-09-01","23","0.0172","3e-04","0.937956"," "
"","","","","","","",""
"86023000","2008-07-01","2012-08-01","26","0.284","0.0807","0.159659"," "
"","","","","","","",""
"3001700","2008-05-01","2016-05-01","49","0.5818","0.3385","1.2e-05","***"
"","","","","","","",""
"4015900","1997-05-01","2002-05-01","31","0.2504","0.0627","0.174269"," "
"","","","","","","",""
"4004900","1998-07-01","2001-10-01","22","0.0963","0.0093","0.669895"," "
"4004900","2007-05-01","2010-08-01","22","0.0889","0.0079","0.694096"," "
"","","","","","","",""
"10009300","1995-06-01","2013-06-01","109","0.2264","0.0512","0.017945","*"
"","","","","","","",""
"1013600","1994-05-01","2001-09-01","47","0.019","4e-04","0.899017"," "
"1013600","2009-10-01","2014-08-01","29","0.2697","0.0727","0.157137"," "
"","","","","","","",""
"1010200","1999-05-01","2002-09-01","23","0.5174","0.2677","0.011455","*"
"1010200","2003-05-01","2006-09-01","23","0.2171","0.0471","0.319775"," "
"","","","","","","",""
"9005700","1996-05-01","2000-10-01","30","0.3109","0.0966","0.0945","."
"9005700","2003-05-01","2006-09-01","23","0.3171","0.1006","0.140401"," "
"","","","","","","",""
"31053800","1990-05-01","2000-05-01","61","0.1171","0.0137","0.368834"," "
"31053800","2000-08-01","2009-05-01","52","0.0593","0.0035","0.676422"," "
"","","","","","","",""
"56087700","2000-06-01","2003-05-01","18","0.3247","0.1054","0.188618"," "
"56087700","2005-05-01","2008-09-01","23","0.035","0.0012","0.874017"," "
"","","","","","","",""
"77014900","1996-08-01","2006-10-01","63","0.1903","0.0362","0.135255"," "
"","","","","","","",""
"47011900","1993-05-01","1998-10-01","36","0.5798","0.3362","0.00021","***"
"47011900","2001-05-01","2008-10-01","48","0.1443","0.0208","0.327671"," "
"47011900","2009-10-01","2016-07-01","40","0.1663","0.0276","0.305217"," "
"","","","","","","",""
"73008600","2001-05-01","2006-10-01","36","0.3929","0.1544","0.017764","*"
"73008600","2007-06-01","2013-09-01","40","0.5335","0.2846","0.000393","***"
"","","","","","","",""
"11030700","2004-05-01","2007-09-01","23","0.2635","0.0694","0.224513"," "
"","","","","","","",""
"18032300","1990-05-01","2001-09-01","71","0.1053","0.0111","0.382157"," "
"18032300","2002-05-01","2009-09-01","47","0.1795","0.0322","0.227401"," "
"18032300","2012-09-01","2017-09-01","31","0.4882","0.2383","0.005334","**"
"","","","","","","",""
"18034300","1996-05-01","2001-09-01","35","0.2844","0.0809","0.097713","."
"18034300","2002-05-01","2009-07-01","45","0.1509","0.0228","0.322346"," "
"","","","","","","",""
"52000100","2000-05-01","2005-10-01","36","0.0316","0.001","0.854656"," "
"52000100","2006-09-01","2009-10-01","20","-0.0266","7e-04","0.9114"," "
"","","","","","","",""
"86001100","1990-05-01","1998-09-01","53","-0.1515","0.023","0.278781"," "
"86001100","1999-09-01","2002-09-01","19","0.711","0.5056","0.000643","***"
"86001100","2008-05-01","2017-10-01","60","0.2546","0.0648","0.049586","*"
"","","","","","","",""
"10001500","2003-05-01","2007-09-01","29","0.1035","0.0107","0.593007"," "
"","","","","","","",""
"10022500","2000-05-01","2010-08-01","64","0.2345","0.055","0.062192","."
"","","","","","","",""
"31029900","1997-05-01","2002-06-01","32","0.1411","0.0199","0.44122"," "
"31029900","2002-08-01","2006-05-01","22","0.3506","0.1229","0.109666"," "
"31029900","2008-10-01","2014-05-01","32","0.362","0.1311","0.041732","*"
"","","","","","","",""
"19002400","2011-05-01","2017-08-01","40","0.5715","0.3266","0.000117","***"
"","","","","","","",""
"69089100","1998-05-01","2010-09-01","77","0.4283","0.1835","0.000102","***"
"69089100","2011-05-01","2017-05-01","37","0.4674","0.2184","0.003538","**"
"","","","","","","",""
"82009100","2002-05-01","2008-07-01","39","0.5614","0.3152","0.000201","***"
"82009100","2009-05-01","2012-09-01","23","0.7617","0.5802","2.4e-05","***"
"","","","","","","",""
"13005300","1993-10-01","1997-10-01","25","0.4751","0.2258","0.016383","*"
"13005300","2000-05-01","2011-09-01","71","0.3582","0.1283","0.002162","**"
"","","","","","","",""
"82012800","1998-05-01","2009-08-01","70","0.2107","0.0444","0.079934","."
"82012800","2009-10-01","2013-06-01","21","0.1379","0.019","0.551009"," "
"","","","","","","",""
"82045600","2000-06-01","2005-07-01","32","0.2844","0.0809","0.114647"," "
"","","","","","","",""
"9002900","1995-05-01","1998-09-01","23","-0.2198","0.0483","0.313676"," "
"9002900","1999-05-01","2012-10-01","84","0.4034","0.1627","0.000142","***"
"","","","","","","",""
"69021800","1995-05-01","1998-05-01","19","0.1106","0.0122","0.652021"," "
"69021800","2001-05-01","2004-05-01","19","0.3122","0.0974","0.193217"," "
"","","","","","","",""
"56053200","2006-05-01","2012-09-01","41","0.3629","0.1317","0.019698","*"
"","","","","","","",""
"86013400","1992-05-01","1996-09-01","29","0.3467","0.1202","0.065367","."
"86013400","1997-05-01","2000-09-01","23","0.5081","0.2581","0.013318","*"
"86013400","2004-05-01","2009-09-01","35","0.0022","0","0.989892"," "
"86013400","2010-05-01","2014-09-01","29","0.5529","0.3057","0.001866","**"
"","","","","","","",""
"11025000","1990-05-01","2017-10-01","168","0.2638","0.0696","0.00055","***"
"","","","","","","",""
"29015600","1990-05-01","1992-09-01","17","0.3858","0.1489","0.126115"," "
"29015600","1995-05-01","2004-09-01","59","0.3746","0.1404","0.003463","**"
"29015600","2005-05-01","2010-09-01","35","0.1449","0.021","0.40624"," "
"29015600","2011-05-01","2015-09-01","29","0.6034","0.3641","0.00053","***"
"","","","","","","",""
"69062700","1990-05-01","1992-09-01","17","0.3711","0.1377","0.14252"," "
"69062700","1993-05-01","1996-05-01","19","0.1743","0.0304","0.475409"," "
"69062700","1999-05-01","2002-09-01","23","0.4105","0.1685","0.051696","."
"69062700","2003-05-01","2011-08-01","52","0.1808","0.0327","0.199707"," "
"69062700","2012-05-01","2017-10-01","36","0.4374","0.1913","0.00764","**"
"","","","","","","",""
"61006700","1994-05-01","1998-07-01","27","0.1081","0.0117","0.591494"," "
"61006700","1999-05-01","2002-09-01","23","0.4853","0.2356","0.018895","*"
"61006700","2012-05-01","2014-10-01","18","0.5854","0.3427","0.010695","*"
"","","","","","","",""
"77015400","1990-05-01","2010-08-01","124","0.0454","0.0021","0.616776"," "
"77015400","2011-05-01","2017-10-01"," 42","0.1228","0.0151","0.438598"," "
"","","","","","","",""
"65000600","1996-05-01","2016-10-01","126","0.5115","0.2617","0","***"
"","","","","","","",""
"8001800","1991-05-01","1995-09-01","29","0.222","0.0493","0.246998"," "
"8001800","2006-05-01","2009-08-01","22","0.2706","0.0732","0.223152"," "
"","","","","","","",""
"47005000","2005-05-01","2013-09-01","53","0.3892","0.1515","0.003968","**"
"47005000","2014-05-01","2017-08-01","22","0.4907","0.2408","0.020408","*"
"","","","","","","",""
"11026300","1997-05-01","2014-09-01","107","0.369","0.1361","9.2e-05","***"
"","","","","","","",""
"86019300","2000-05-01","2011-09-01","71","0.3476","0.1209","0.002973","**"
"","","","","","","",""
"10004200","1990-05-01","1992-10-01","18","0.3013","0.0908","0.224429"," "
"10004200","2001-05-01","2004-10-01","24","0.5258","0.2764","0.008321","**"
"10004200","2006-05-01","2015-09-01","59","0.3381","0.1143","0.008817","**"
"","","","","","","",""
"31057100","1995-05-01","2017-05-01","133","0.4261","0.1815","0","***"
"","","","","","","",""
"10001100","1998-06-01","2003-07-01","32","0.4986","0.2486","0.003676","**"
"","","","","","","",""
"31042200","2001-05-01","2012-10-01","72","0.042","0.0018","0.725907"," "
"","","","","","","",""
"2007500","1990-05-01","2016-08-01","160","0.5164","0.2667","0","***"
"","","","","","","",""
"69093200","2007-05-01","2010-08-01","22","-0.2736","0.0749","0.21785"," "
"","","","","","","",""
"82009200","2002-05-01","2005-09-01","23","0.096","0.0092","0.662979"," "
"82009200","2006-05-01","2014-05-01","49","0.0943","0.0089","0.519224"," "
"","","","","","","",""
"82011000","1990-05-01","1996-09-01","41","-0.073","0.0053","0.650064"," "
"82011000","1998-08-01","2002-05-01","22","0.1463","0.0214","0.515837"," "
"82011000","2002-07-01","2006-05-01","23","-0.0426","0.0018","0.84705"," "
"","","","","","","",""
"13002800","1990-05-01","1994-08-01","28","-0.2266","0.0514","0.246203"," "
"13002800","1996-05-01","1999-10-01","24","0.1027","0.0106","0.632904"," "
"13002800","2000-10-01","2004-07-01","22","0.4691","0.22","0.027644","*"
"13002800","2008-07-01","2017-10-01","58","0.0696","0.0048","0.603644"," "
"","","","","","","",""
"82003500","1997-05-01","2012-05-01","91","0.1453","0.0211","0.16941"," "
"","","","","","","",""
"9000800","1990-05-01","2008-10-01","114","0.1216","0.0148","0.197546"," "
"9000800","2009-06-01","2012-10-01"," 23","-0.0788","0.0062","0.720784"," "
"9000800","2013-06-01","2017-10-01"," 29","0.3082","0.095","0.103837"," "
"","","","","","","",""
"51006300","2000-05-01","2004-09-01","29","0.2983","0.089","0.116035"," "
"51006300","2013-05-01","2016-09-01","23","0.5377","0.2892","0.008135","**"
"","","","","","","",""
"56037700","2001-05-01","2008-09-01","47","0.0635","0.004","0.671475"," "
"56037700","2013-07-01","2016-10-01","22","0.2311","0.0534","0.300689"," "
"","","","","","","",""
"29025000","1997-05-01","2001-09-01","29","0.1632","0.0266","0.397757"," "
"","","","","","","",""
"77018100","1994-05-01","1999-09-01","35","0.1897","0.036","0.275055"," "
"77018100","2001-05-01","2007-08-01","40","0.4289","0.1839","0.005757","**"
"","","","","","","",""
"77000700","2003-05-01","2010-09-01","47","0.0749","0.0056","0.616985"," "
"77000700","2011-05-01","2014-10-01","24","0.6185","0.3826","0.001274","**"
"","","","","","","",""
"18037500","1990-05-01","2001-09-01","71","0.2293","0.0526","0.054423","."
"18037500","2002-05-01","2009-09-01","47","0.2015","0.0406","0.174417"," "
"","","","","","","",""
"11007300","1994-05-01","2000-07-01","39","0.0191","4e-04","0.908344"," "
"11007300","2001-05-01","2005-05-01","25","0.5038","0.2538","0.010244","*"
"","","","","","","",""
"31082600","1999-05-01","2009-05-01","61","0.1206","0.0145","0.354741"," "
"","","","","","","",""
"27010400","1990-08-01","1993-09-01","20","0.6122","0.3748","0.004113","**"
"27010400","1999-05-01","2008-09-01","59","0.4442","0.1973","0.000425","***"
"27010400","2009-05-01","2013-09-01","29","0.6343","0.4023","0.00022","***"
"27010400","2014-05-01","2017-05-01","19","0.606","0.3673","0.005952","**"
"","","","","","","",""
"13006900","2001-06-01","2017-08-01","99","0.4022","0.1618","3.7e-05","***"
"","","","","","","",""
"13003200","1990-05-01","1992-09-01","17","-0.0515","0.0027","0.844351"," "
"13003200","1993-05-01","1997-10-01","30","0.1116","0.0125","0.556952"," "
"13003200","1998-06-01","2005-08-01","45","0.4171","0.1739","0.00437","**"
"13003200","2006-05-01","2017-10-01","72","0.0751","0.0056","0.530414"," "
"","","","","","","",""
"1007700","1993-05-01","2001-09-01","53","0.209","0.0437","0.133175"," "
"1007700","2002-05-01","2005-09-01","23","0.3981","0.1585","0.059905","."
"","","","","","","",""
"69084100","1990-09-01","1993-09-01","19","0.1324","0.0175","0.58902"," "
"69084100","2004-05-01","2008-08-01","28","-0.0282","8e-04","0.886712"," "
"69084100","2010-05-01","2012-10-01","18","0.7441","0.5537","0.000399","***"
"","","","","","","",""
"16022800","1999-08-01","2004-06-01","29","0.198","0.0392","0.303154"," "
"16022800","2005-05-01","2013-10-01","54","0.4286","0.1837","0.001222","**"
"","","","","","","",""
"34002200","1992-06-01","1999-07-01","44","0.5337","0.2849","0.000191","***"
"34002200","2002-08-01","2014-06-01","71","0.3735","0.1395","0.001333","**"
"","","","","","","",""
"86028900","1990-05-01","1994-10-01","30","0.0328","0.0011","0.863365"," "
"86028900","2001-10-01","2006-10-01","31","0.4513","0.2036","0.010833","*"
"86028900","2011-05-01","2015-09-01","29","0.3561","0.1268","0.057928","."
"","","","","","","",""
"18024300","2002-05-01","2017-08-01","94","0.1657","0.0275","0.110412"," "
"","","","","","","",""
"11005900","1993-05-01","1996-09-01","23","0.1809","0.0327","0.408822"," "
"11005900","2004-05-01","2010-09-01","41","0.1302","0.017","0.417107"," "
"11005900","2011-05-01","2014-09-01","23","0.6798","0.4621","0.00036","***"
"","","","","","","",""
"1009600","1994-05-01","2002-09-01","53","0.2244","0.0504","0.106162"," "
"1009600","2003-05-01","2011-10-01","54","0.2146","0.0461","0.119092"," "
"","","","","","","",""
"3061900","1997-05-01","2002-08-01","34","0.1564","0.0245","0.376932"," "
"3061900","2002-10-01","2006-09-01","24","0.1214","0.0147","0.571905"," "
"","","","","","","",""
"83003600","1990-05-01","1994-10-01","30","0.2951","0.0871","0.113446"," "
"83003600","2002-05-01","2005-06-01","20","0.5788","0.3351","0.007493","**"
"","","","","","","",""
"77003500","2011-05-01","2014-05-01","19","0.7479","0.5594","0.000232","***"
"","","","","","","",""
"73014700","2001-07-01","2004-07-01","19","0.6035","0.3642","0.006225","**"
"73014700","2007-10-01","2010-10-01","19","0.2738","0.075","0.256597"," "
"73014700","2012-05-01","2015-09-01","23","0.5874","0.345","0.003208","**"
"","","","","","","",""
"3030400","1996-05-01","1999-10-01","24","-0.0214","5e-04","0.921103"," "
"3030400","2001-05-01","2007-08-01","40","0.2054","0.0422","0.203546"," "
"3030400","2008-05-01","2012-09-01","29","0.235","0.0552","0.219782"," "
"","","","","","","",""
"10008400","2009-05-01","2016-08-01","46","0.3607","0.1301","0.013783","*"
"","","","","","","",""
"10004700","2001-05-01","2004-10-01","24","0.4978","0.2478","0.013314","*"
"10004700","2006-05-01","2016-10-01","66","0.2431","0.0591","0.049171","*"
"","","","","","","",""
"31058500","1998-07-01","2004-05-01","35","0.3526","0.1243","0.037784","*"
"31058500","2013-07-01","2016-06-01","18","0.3558","0.1266","0.147353"," "
"","","","","","","",""
"82000900","1995-07-01","1998-06-01","18","-0.2159","0.0466","0.389625"," "
"82000900","1998-08-01","2002-05-01","22","0.2638","0.0696","0.23553"," "
"82000900","2002-07-01","2009-09-01","45","0.2086","0.0435","0.169146"," "
"","","","","","","",""
